"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"R47-J17","S5_R47_J17",6.54,"S5","Root","2019-06-11","Exp. Sample","47","Y","Prev-Oiled Inoc.","Oil Added","2","1","J17","Non-Growing",58.425,4.732,5,59,NA,NA,NA,NA,7.12,3.31,NA,NA,"R47-J17",NA,0.5183389485,39.31501007,75.8480723545319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R47-J18","S5_R47_J18",5.64,"S5","Root","2019-07-10","Exp. Sample","47","Y","Prev-Oiled Inoc.","Oil Added","2","1","J18","Non-Growing",50.935,3.6,4,93,68,NA,NA,NA,6.69,0.65,NA,NA,"R47-J18",NA,0.6890634,43.70673561,63.4291933224142,96.61,32.96,324.96,119.87,156.2,574.4,0.271935933147632,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R49-J17","S5_R49_J17",6.48,"S5","Root","2019-06-11","Exp. Sample","49","Y","Prev-Oiled Inoc.","No Oil Added","3","1","J17","Non-Growing",54.725,3.67578947368421,6,85,NA,NA,NA,NA,7.09,3.11,NA,NA,"R49-J17",NA,0.5761264265,38.90054131,67.5208418164793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"R49-J18","S5_R49_J18",7.78,"S5","Root","2019-07-10","Exp. Sample","49","Y","Prev-Oiled Inoc.","No Oil Added","3","1","J18","Non-Growing",52.275,3.185,5,102,11,NA,NA,NA,7.05,0.61,NA,NA,"R49-J18",NA,0.6890732348,46.6709671,67.7300535603389,144.26,4.39,255.99,20,162.26,424.64,0.382111906556142,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"R60-J17","S5_R60_J17",7.44,"S5","Root","2019-06-11","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","J17","Non-Growing",70.225,4.8625,6,74,NA,NA,NA,NA,7.28,1.92,NA,NA,"R60-J17",NA,0.5878077447,37.70062256,64.137675796091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R60-J18","S5_R60_J18",4.44,"S5","Root","2019-07-10","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","J18","Non-Growing",56.015,4.145,3,83,62,NA,NA,NA,7.17,0.76,NA,NA,"R60-J18",NA,0.6029662788,36.7546463,60.9563877654115,110,44.39,232.55,166.55,140.31,553.49,0.253500514914452,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R60-N17","S5_R60_N17",5.12,"S5","Root","2019-06-18","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","N17","Growing",78.05,5.505,9,71,NA,4,1.1,0.275,7.02,2.16,NA,NA,"R60-N17",NA,0.5590001941,35.73952675,63.9347304834863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R66-J17","S5_R66_J17",6.85,"S5","Root","2019-06-11","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","J17","Non-Growing",62.575,4.6195,6,63,NA,NA,NA,NA,6.84,1.21,NA,NA,"R66-J17",NA,0.5447886586,36.89083862,67.7158711688349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"R66-J18","S5_R66_J18",7.33,"S5","Root","2019-07-10","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","J18","Non-Growing",42.785,3.54,3,107,23,NA,NA,NA,6.7,0.6,NA,NA,"R66-J18",NA,0.5776447058,35.32856178,61.1596738016879,134.94,7.03,231.18,27.6,83.27,400.75,0.207785402370555,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"R68-J17","S5_R68_J17",8.64,"S5","Root","2019-06-11","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","J17","Non-Growing",102.7,4.4075,5,76,NA,NA,NA,NA,6.74,2.75,NA,NA,"R68-J17",NA,0.5815612078,39.83872986,68.5030729795523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
